1;WOJEWÓDZTWO;TYP;NAZWA URZĘDU;KOD;MIASTO;ULICA;NR BUDYNKU / LOKALU;adres;POCZTA;NR TELEFONU   wraz z nr kierunkowym  ;NR FAXU;ADRES E-MAIL URZĘDU;kod jednostki;ADRESY STRON BIP JEDNOSTEK KAS
247;mazowieckie;US;Urząd Skarbowy w Płońsku;09-100;Płońsk;Spółdzielcza ;2;09-100 Płońsk, Spółdzielcza  2;Płońsk;"(23) 662-04-00; (23) 662-04-99";(23) 662-93-00;us1420@mz.mofnet.gov.pl;1420;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-plonsku
248;mazowieckie;US;Urząd Skarbowy w Pruszkowie;05-800;Pruszków;Stanisława Staszica ;1;05-800 Pruszków, Stanisława Staszica  1;Pruszków;(22) 738-09-00;(22) 738-07-76;us1421@mz.mofnet.gov.pl;1421;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-pruszkowie
249;mazowieckie;US;Urząd Skarbowy w Przasnyszu;06-300;Przasnysz;Świerkowa ;3;06-300 Przasnysz, Świerkowa  3;Przasnysz;(29) 752-26-62;(29) 756-45-08;us1422@mz.mofnet.gov.pl;1422;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-przasnyszu
250;mazowieckie;US;Urząd Skarbowy w Pułtusku;06-100;Pułtusk;Żwirki i Wigury ;7;06-100 Pułtusk, Żwirki i Wigury  7;Pułtusk;"(23) 692-01-12; (23) 692-55-69; (23) 692-52-64; (23) 692-54-10";(23) 692-13-34;us1423@mz.mofnet.gov.pl;1423;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-pultusku
251;mazowieckie;US;Pierwszy Urząd Skarbowy w Radomiu;26-615;Radom;Stanisława Zbrowskiego ;106;26-615 Radom, Stanisława Zbrowskiego  106;Radom;"(48) 368-14-00; (48) 368-14-03";(48) 368-14-98;us1424@mz.mofnet.gov.pl;1424;www.mazowieckie.kas.gov.pl/pierwszy-urzad-skarbowy-w-radomiu
252;mazowieckie;US;Drugi Urząd Skarbowy w Radomiu;26-600;Radom;Toruńska ;3;26-600 Radom, Toruńska  3;Radom;"(48) 385-31-00; (48) 385-31-38";(48) 331-84-48;us1425@mz.mofnet.gov.pl;1425;www.mazowieckie.kas.gov.pl/drugi-urzad-skarbowy-w-radomiu
253;mazowieckie;US;Urząd Skarbowy w Siedlcach;08-110;Siedlce;Bp. Ignacego Świrskiego;45;08-110 Siedlce, Bp. Ignacego Świrskiego 45;Siedlce;"(25) 632 87 20; (25) 632-48-80";(25) 633-15-25;us1426@mz.mofnet.gov.pl;1426;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-siedlcach
254;mazowieckie;US;Urząd Skarbowy w Sierpcu;09-200;Sierpc;Piastowska ;48;09-200 Sierpc, Piastowska  48;Sierpc;(24) 275-21-08;(24) 275-38-77;us1427@mz.mofnet.gov.pl;1427;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-sierpcu
255;mazowieckie;US;Urząd Skarbowy w Sochaczewie;96-500;Sochaczew;Władysława Grabskiego ;4;96-500 Sochaczew, Władysława Grabskiego  4;Sochaczew;(46) 862-26-04;(46) 862-26-03;us1428@mz.mofnet.gov.pl;1428;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-sochaczewie
256;mazowieckie;US;Urząd Skarbowy w Sokołowie Podlaskim;08-300;Sokołów Podlaski;Węgrowska ;5;08-300 Sokołów Podlaski, Węgrowska  5;Sokołów Podlaski;(25) 781-27-61;(25) 781-27-61 w.130 ;us1429@mz.mofnet.gov.pl;1429;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-sokolowie-podlaskim
257;mazowieckie;US;Urząd Skarbowy w Szydłowcu;26-500;Szydłowiec;Widok ;6;26-500 Szydłowiec, Widok  6;Szydłowiec;"(48) 617-00-81; (48) 617-63-17; (48) 617-63-18";(48) 617-14-54;us1430@mz.mofnet.gov.pl;1430;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-szydlowcu
258;mazowieckie;US;Urząd Skarbowy Warszawa - Bemowo;02-325;Warszawa;Białobrzeska ;53A;02-325 Warszawa, Białobrzeska  53A;Warszawa;(22) 570-88-00;(22) 570-88-60;us1431@mz.mofnet.gov.pl;1431;www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-bemowo
259;mazowieckie;US;Urząd Skarbowy Warszawa - Bielany;01-844;Warszawa;Skalbmierska ;5;01-844 Warszawa, Skalbmierska  5;Warszawa;(22) 569-32-00;(22) 56-93-375;us1432@mz.mofnet.gov.pl;1432;www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-bielany
260;mazowieckie;US;Urząd Skarbowy Warszawa - Mokotów;02-676;Warszawa;Postępu ;16A;02-676 Warszawa, Postępu  16A;Warszawa;(22) 502-00-00;(22) 502-02-18;us1433@mz.mofnet.gov.pl;1433;www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-mokotow
261;mazowieckie;US;Urząd Skarbowy Warszawa - Praga;03-719;Warszawa;Jagiellońska ;15;03-719 Warszawa, Jagiellońska  15;Warszawa;(22) 509-18-00;(22) 509-19-90;us1434@mz.mofnet.gov.pl;1434;www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-praga
262;mazowieckie;US;Pierwszy Urząd Skarbowy Warszawa - Śródmieście;02-013;Warszawa;Williama Lindleya ;14;02-013 Warszawa, Williama Lindleya  14;Warszawa;"(22) 584-61-00; (22) 584-61-06";(22) 584-61-90;us1435@mz.mofnet.gov.pl;1435;www.mazowieckie.kas.gov.pl/pierwszy-urzad-skarbowy-warszawa-srodmiescie
263;mazowieckie;US;Drugi Urząd Skarbowy Warszawa - Śródmieście;03-719;Warszawa;Jagiellońska ;15;03-719 Warszawa, Jagiellońska  15;Warszawa;(22) 511-35-01;(22) 511-35-02;us1436@mz.mofnet.gov.pl;1436;www.mazowieckie.kas.gov.pl/drugi-urzad-skarbowy-warszawa-srodmiescie
264;mazowieckie;US;Urząd Skarbowy Warszawa - Targówek;03-482;Warszawa;Dąbrowszczaków ;14;03-482 Warszawa, Dąbrowszczaków  14;Warszawa;(22) 511-76-00;(22) 619-11-04;us1437@mz.mofnet.gov.pl;1437;www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-targowek
265;mazowieckie;US;Urząd Skarbowy Warszawa - Ursynów;02-677;Warszawa;Wynalazek ;3;02-677 Warszawa, Wynalazek  3;Warszawa;(22) 548-68-00;"(22) 548-67-00; (22) 548-68-64; (22) 548-68-01";us1438@mz.mofnet.gov.pl;1438;www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-ursynow
266;mazowieckie;US;Urząd Skarbowy Warszawa - Wawer;04-379;Warszawa;Ludwika Mycielskiego ;21;04-379 Warszawa, Ludwika Mycielskiego  21;Warszawa;"(22) 813-99-03; (22) 813-99-03; (22) 509-42-12";(22) 870-57-19;us1439@mz.mofnet.gov.pl;1439;www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-wawer
267;mazowieckie;US;Urząd Skarbowy Warszawa - Wola;01-381;Warszawa;Powstańców Śląskich ;2D;01-381 Warszawa, Powstańców Śląskich  2D;Warszawa;(22) 533-66-00;(22) 533-66-15;us1440@mz.mofnet.gov.pl;1440;www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-wola
268;mazowieckie;US;Urząd Skarbowy w Węgrowie;07-100;Węgrów;Kościelna ;4;07-100 Węgrów, Kościelna  4;Węgrów;"(25) 792-24-48; 25-792-24-05";(25) 792-24-48 wew.37;us1441@mz.mofnet.gov.pl;1441;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-wegrowie
269;mazowieckie;US;Urząd Skarbowy w Wołominie ;05-200;Wołomin;Przejazd ;2;05-200 Wołomin, Przejazd  2;Wołomin;(22) 787-75-82;(22) 776-40-60;us1442@mz.mofnet.gov.pl;1442;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-wolominie
270;mazowieckie;US;Urząd Skarbowy w Wyszkowie;07-200;Wyszków;Gen. Józefa Sowińskiego ;82;07-200 Wyszków, Gen. Józefa Sowińskiego  82;Wyszków;(29) 743-02-48;(29) 742-34-22;us1443@mz.mofnet.gov.pl;1443;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-wyszkowie
271;mazowieckie;US;Urząd Skarbowy w Zwoleniu;26-700;Zwoleń;Wojska Polskiego ;39;26-700 Zwoleń, Wojska Polskiego  39;Zwoleń;(48) 676-35-43;(48) 676-35-43 wew.125;us1444@mz.mofnet.gov.pl;1444;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-zwoleniu
272;mazowieckie;US;Urząd Skarbowy w Żurominie;09-300;Żuromin;Plac Józefa Piłsudskiego ;4;09-300 Żuromin, Plac Józefa Piłsudskiego  4;Żuromin;"(23) 657-32-76; (23) 657-32-56; (23) 657-32-63";(23) 657-32-56 wew.127;us1445@mz.mofnet.gov.pl;1445;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-zurominie
273;mazowieckie;US;Urząd Skarbowy w Żyrardowie;96-300;Żyrardów;1 Maja ;49A;96-300 Żyrardów, 1 Maja  49A;Żyrardów;"(46) 855-35-56; (46) 855-22-37; (46) 855-41-98";(46) 855-35-56 wew.115;us1446@mz.mofnet.gov.pl;1446;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-zyrardowie
274;mazowieckie;US;Urząd Skarbowy w Lipsku;27-300;Lipsko;Solecka ;88;27-300 Lipsko, Solecka  88;Lipsko;(48) 378-13-36;(48) 378-13-37;us1447@mz.mofnet.gov.pl;1447;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-lipsku
275;mazowieckie;US;Urząd Skarbowy w Przysusze;26-400;Przysucha;Szkolna ;7;26-400 Przysucha, Szkolna  7;Przysucha;"(48) 675-20-76; (48) 675-20-77; (48) 675-20-78";(48) 675-20-75;us1448@mz.mofnet.gov.pl;1448;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-przysusze
276;mazowieckie;US;Trzeci Urząd Skarbowy Warszawa - Śródmieście;02-013;Warszawa;Williama Lindleya ;14;02-013 Warszawa, Williama Lindleya  14;Warszawa;"(22) 584-51-00; (22) 584-53-06 ";(22) 584-53-39;us1449@mz.mofnet.gov.pl;1449;www.mazowieckie.kas.gov.pl/trzeci-urzad-skarbowy-warszawa-srodmiescie
277;mazowieckie;WUS;Pierwszy Mazowiecki Urząd Skarbowy w Warszawie;01-513;Warszawa;Alojzego Felińskiego ;2A;01-513 Warszawa, Alojzego Felińskiego  2A;Warszawa;(22) 568-92-00 ;(22) 568-93-01;us1471@mz.mofnet.gov.pl;1471;www.mazowieckie.kas.gov.pl/pierwszy-mazowiecki-urzad-skarbowy-w-warszawie
278;mazowieckie;WUS;Drugi Mazowiecki Urząd Skarbowy w Warszawie;00-193;Warszawa;Stawki ;2;00-193 Warszawa, Stawki  2;Warszawa;(22) 860-71-17;(22) 860-71-05  ;us1472@mz.mofnet.gov.pl;1472;www.mazowieckie.kas.gov.pl/drugi-mazowiecki-urzad-skarbowy-w-warszawie
279;mazowieckie;WUS;Trzeci Mazowiecki Urząd Skarbowy w Radomiu;26-610;Radom;Andrzeja Struga ;26/28;26-610 Radom, Andrzeja Struga  26/28;Radom;"(48) 362-95-21; (48) 362-95-01; (48) 362-95-47";(48) 363-11-50;us1473@mz.mofnet.gov.pl;1473;www.mazowieckie.kas.gov.pl/trzeci-mazowiecki-urzad-skarbowy-w-radomiu
280;mazowieckie;UCS;Mazowiecki Urząd Celno-Skarbowy w Warszawie;02-677;Warszawa;Cybernetyki ;19B;02-677 Warszawa, Cybernetyki  19B;Warszawa;22 207 95 10;22 207 95 90;uks.warszawa@mz.mofnet.gov.pl;448000;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
281;mazowieckie;DUCS;Delegatura UCS I w Warszawie;02-677;Warszawa;Cybernetyki ;19B;02-677 Warszawa, Cybernetyki  19B;Warszawa;22 544 74 02, 22 544 75 67, 22 846 00 81                           ;22 544 75 68;uc.warszawa1@war.mofnet.gov.pl;441000;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
282;mazowieckie;OC;Oddział Celny I Pocztowy w Warszawie;00-900;Warszawa;Łączyny ;8;00-900 Warszawa, Łączyny  8;Warszawa;22 545 16 04;22 548 14 31;OC441010@war.mofnet.gov.pl;441010;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
283;mazowieckie;OC;Oddział Celny IV w Warszawie;02-256;Warszawa;Al. Krakowska ;106;02-256 Warszawa, Al. Krakowska  106;Warszawa;22 332 07 40, 22 332 07 41, 22 332 07 42,22 332 07 43, 22 332 07 44      ;22 332 09 60;OC441040@war.mofnet.gov.pl;441040;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
284;mazowieckie;DUCS;Delegatura UCS II w Warszawie;03-877;Warszawa;Utrata ;4;03-877 Warszawa, Utrata  4;Warszawa;22 510 44 05;22 510 44 00;uc.warszawa2@war.mofnet.gov.pl;442000;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
285;mazowieckie;OC;Oddział Celny V w Warszawie;03-191;Warszawa;Spedycyjna ;22;03-191 Warszawa, Spedycyjna  22;Warszawa;22 519 74 10;22 519 74 00           22 519 74 01;OC442010@war.mofnet.gov.pl;442010;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
286;mazowieckie;OC;Oddział Celny VI w Warszawie;03-877;Warszawa;Utrata ;4;03-877 Warszawa, Utrata  4;Warszawa;22 510 44 41;22 519 74 00           22 519 74 01;OC442020@war.mofnet.gov.pl;442020;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
287;mazowieckie;DUCS;Delegatura UCS III „Port Lotniczy” w Warszawie;00-906;Warszawa;Żwirki i Wigury ;1;00-906 Warszawa, Żwirki i Wigury  1;Warszawa;22 650 34 30           ;22 650 34 18;uc.warszawa3@war.mofnet.gov.pl;443000;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
288;mazowieckie;OC;Oddział Celny Osobowy w Warszawie;00-906;Warszawa;Żwirki i Wigury ;1;00-906 Warszawa, Żwirki i Wigury  1;Warszawa;22 650 22 13, 22 650 34 03 ;22 650 22 13           22 650 50 89;OC443010@war.mofnet.gov.pl;443010;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
289;mazowieckie;OC;Oddział Celny Towarowy I w Warszawie;02-158;Warszawa;Wirażowa ;35;02-158 Warszawa, Wirażowa  35;Warszawa;22 606 72 09, 22 606 72 42;22 606 72 05;OC443020@war.mofnet.gov.pl;443020;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
290;mazowieckie;OC;Oddział Celny Port Lotniczy Warszawa-Modlin;05-102;Nowy Dwór Mazowiecki;Gen. Wiktora Thommee ;1A;05-102 Nowy Dwór Mazowiecki, Gen. Wiktora Thommee  1A;Nowy Dwór Mazowiecki;22 510 49 10, 22 346 50 01;22 346 50 08           22 346 50 09;OC443050@war.mofnet.gov.pl;443050;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
291;mazowieckie;DUCS;Delegatura UCS w Radomiu;26-600;Radom;Struga ;60;26-600 Radom, Struga  60;Radom;48 334 31 01,48 334 31 41;48 365 01 93;uc.radom@war.mofnet.gov.pl;444000;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
292;mazowieckie;OC;Oddział Celny w Radomiu;26-600;Radom;Wrocławska ;4;26-600 Radom, Wrocławska  4;Radom;48 334 31 03;48 334 31 14;OC444010@war.mofnet.gov.pl;444010;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
293;mazowieckie;OC;Oddział Celny w Grójcu;05-600;Słomczyn;;81;05-600 Słomczyn,  81;Grójec;48 664 32 67;48 664 27 41;OC444020@war.mofnet.gov.pl;444020;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
294;mazowieckie;DUCS;Delegatura UCS w Pruszkowie;05-800;Pruszków;Przejazdowa ;25;05-800 Pruszków, Przejazdowa  25;Pruszków;22 738 52 05;22 738 52 24;uc.pruszkow@war.mofnet.gov.pl;445000;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
295;mazowieckie;OC;Oddział Celny I w Pruszkowie;05-800;Pruszków;Przejazdowa ;25;05-800 Pruszków, Przejazdowa  25;Pruszków;22 738 52 01, 22 738 52 32;22 728 10 66;uc.pruszkow@war.mofnet.gov.pl;445010;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
296;mazowieckie;OC;Oddział Celny w Płocku;09-400;Płock;Królewiecka ;27;09-400 Płock, Królewiecka  27;Płock;24 264 62 76,24 264 62 78;24 262 62 77;OC445050@war.mofnet.gov.pl;445050;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
297;mazowieckie;DUCS;Delegatura UCS w Siedlcach;08-110;Siedlce;Brzeska ;102;08-110 Siedlce, Brzeska  102;Siedlce;25 644 02 98, 25 633 97 55,25 640 18 31;25 640 18 43;uc.siedlce@war.mofnet.gov.pl;446000;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
298;mazowieckie;OC;Oddział Celny w Siedlcach;08-110;Siedlce;Brzeska ;179;08-110 Siedlce, Brzeska  179;Siedlce;25 633 52 02;25 632 40 35;OC446010@war.mofnet.gov.pl;446010;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
299;mazowieckie;OC;Oddział Celny w Garwolinie;08-410;Wola Rębkowska;Przemysłowa ;60;08-410 Wola Rębkowska, Przemysłowa  60;Garwolin;25 682 22 58, 25 682 22 59;25 682 22 58;OC446020@war.mofnet.gov.pl;446020;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
300;mazowieckie;DUCS;Delegatura UCS w Ciechanowie;06-400;Ciechanów;Gostkowska ;39A;06-400 Ciechanów, Gostkowska  39A;Ciechanów;23 662 60 89 do 91,          23 673 34 8923 673 38 69                                 ;23 662-22-05;uc.ciechanow@war.mofnet.gov.pl;447000;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
301;mazowieckie;OC;Oddział Celny w Ciechanowie;06-400;Ciechanów;Gostkowska ;39A;06-400 Ciechanów, Gostkowska  39A;Ciechanów;23 662 60 90        ;23 662 22 05;OC447010@war.mofnet.gov.pl;447010;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
302;mazowieckie;OC;Oddział Celny w Ostrołęce;07-411;Ostrołęka;dr Adama Kuklińskiego ;3;07-411 Ostrołęka, dr Adama Kuklińskiego  3;Ostrołęka;29 760 46 75;29 760 84 15;OC447020@war.mofnet.gov.pl;447020;www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
303;mazowieckie;KIS;Delegatura Krajowej Informacji Skarbowej w Plocku;09-402;Płock;1 Maja ;10;09-402 Płock, 1 Maja  10;Płock;(24) 361-62-63;(24) 361-62-62;kis.0114@mz.mofnet.gov.pl;0114;www.kis.gov.pl
304;opolskie;IAS;Izba Administracji Skarbowej w Opolu;45-057;Opole;Ozimska ;19;45-057 Opole, Ozimska  19;Opole;(77) 454-00-67;(77) 456-43-13;is@op.mofnet.gov.pl ;1601;www.opolskie.kas.gov.pl
305;opolskie;US;Urząd Skarbowy w Brzegu;49-305;Brzeg;Składowa ;2;49-305 Brzeg, Składowa  2;Brzeg;(77) 400-52-00;(77) 400-52-02;us1602@op.mofnet.gov.pl ;1602;www.opolskie.kas.gov.pl/urzad-skarbowy-w-brzegu
306;opolskie;US;Urząd Skarbowy w Głubczycach;48-100;Głubczyce;Fabryczna ;2;48-100 Głubczyce, Fabryczna  2;Głubczyce;(77) 485-30-52;(77) 485-24-37;us1603@op.mofnet.gov.pl ;1603;www.opolskie.kas.gov.pl/urzad-skarbowy-w-glubczycach
307;opolskie;US;Urząd Skarbowy w Kędzierzynie-Koźlu;47-224;Kędzierzyn-Koźle;Piotra Skargi ;19;47-224 Kędzierzyn-Koźle, Piotra Skargi  19;Kędzierzyn-Koźle;(77) 406-17-00;(77) 406-17-11;us1604@op.mofnet.gov.pl;1604;www.opolskie.kas.gov.pl/urzad-skarbowy-w-kedzierzynie-kozlu
308;opolskie;US;Urząd Skarbowy w Kluczborku;46-200;Kluczbork;Sienkiewicza ;22A;46-200 Kluczbork, Sienkiewicza  22A;Kluczbork;(77) 425-06-00;(77) 425-06-01;us1605@op.mofnet.gov.pl;1605;www.opolskie.kas.gov.pl/urzad-skarbowy-w-kluczborku
309;opolskie;US;Urząd Skarbowy w Namysłowie;46-100;Namysłów;Plac Wolności ;1;46-100 Namysłów, Plac Wolności  1;Namysłów;(77) 419-09-80;(77) 410-20-46;us1606@op.mofnet.gov.pl;1606;www.opolskie.kas.gov.pl/urzad-skarbowy-w-namyslowie
310;opolskie;US;Urząd Skarbowy w Nysie ;48-300;Nysa;Bolesława Krzywoustego ;23;48-300 Nysa, Bolesława Krzywoustego  23;Nysa;(77) 408-08-00;(77) 408-08-10;us1607@op.mofnet.gov.pl ;1607;www.opolskie.kas.gov.pl/urzad-skarbowy-w-nysie
311;opolskie;US;Urząd Skarbowy w Oleśnie;46-300;Olesno;Jana Pieloka ;21;46-300 Olesno, Jana Pieloka  21;Olesno;(34) 350-44-82;(34) 358-24-59;us1608@op.mofnet.gov.pl;1608;www.opolskie.kas.gov.pl/urzad-skarbowy-w-olesnie
312;opolskie;US;Pierwszy Urząd Skarbowy w Opolu;45-331;Opole;Tadeusza Rejtana ;3B;45-331 Opole, Tadeusza Rejtana  3B;Opole;(77) 453-19-35;(77) 454-42-46;us1609@op.mofnet.gov.pl;1609;www.opolskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-opolu
313;opolskie;US;Drugi Urząd Skarbowy w Opolu;45-358;Opole;Cementowa ;6;45-358 Opole, Cementowa  6;Opole;(77) 442-36-31;(77) 442-36-41;us1610@op.mofnet.gov.pl;1610;www.opolskie.kas.gov.pl/drugi-urzad-skarbowy-w-opolu
314;opolskie;US;Urząd Skarbowy w Prudniku;48-200;Prudnik;Mikołaja Kopernika ;1A;48-200 Prudnik, Mikołaja Kopernika  1A;Prudnik;(77) 436-99-00;(77) 436-99-08;us1611@op.mofnet.gov.pl;1611;www.opolskie.kas.gov.pl/urzad-skarbowy-w-prudniku
315;opolskie;US;Urząd Skarbowy w Strzelcach Opolskich;47-100;Strzelce Opolskie;Opolska ;13;47-100 Strzelce Opolskie, Opolska  13;Strzelce Opolskie;(77) 461-28-29;(77) 461-28-29 w. 316;us1612@op.mofnet.gov.pl;1612;www.opolskie.kas.gov.pl/urzad-skarbowy-w-strzelcach-opolskich
316;opolskie;US;Urząd Skarbowy w Krapkowicach;47-300;Krapkowice;Opolska ;96A;47-300 Krapkowice, Opolska  96A;Krapkowice;(77) 446-77-10;(77) 446-77-11;us1613@op.mofnet.gov.pl ;1613;www.opolskie.kas.gov.pl/urzad-skarbowy-w-krapkowicach
317;opolskie;WUS;Opolski Urząd Skarbowy w Opolu;45-331;Opole;Tadeusza Rejtana ;3A;45-331 Opole, Tadeusza Rejtana  3A;Opole;(77) 442-06-53;(77) 442-05-20;us1671@op.mofnet.gov.pl ;1671;www.opolskie.kas.gov.pl/opolski-urzad-skarbowy-w-opolu
318;opolskie;UCS;Opolski Urząd Celno-Skarbowy w Opolu;45-342;Opole;Drzymały ;22;45-342 Opole, Drzymały  22;Opole;77 401 78 00;77 401 79 17;ucs388000@op.mofnet.gov.pl;388000;www.opolskie.kas.gov.pl/opolski-urzad-celno-skarbowy-w-opolu
319;opolskie;DUCS;Delegatura UCS w Opolu;45-323;Opole;Zielonogórska ;3;45-323 Opole, Zielonogórska  3;Opole;77 402 32 06;77 402 32 68 ;ucsd381000@op.mofnet.gov.pl;381000;www.opolskie.kas.gov.pl/opolski-urzad-celno-skarbowy-w-opolu
320;opolskie;OC;Oddział Celny w Opolu;45-323;Opole;Zielonogórska ;3;45-323 Opole, Zielonogórska  3;Opole;77 402 32 32;77 402 32 39;ucsoc381010@op.mofnet.gov.pl;381010;www.opolskie.kas.gov.pl/opolski-urzad-celno-skarbowy-w-opolu
321;opolskie;OC;Oddział Celny w Kędzierzynie-Koźlu;47-225;Kędzierzyn-Koźle;Szkolna ;15;47-225 Kędzierzyn-Koźle, Szkolna  15;Kędzierzyn-Koźle;77 400 67 10;77 400 67 10 w. 3032;ucsoc381030@op.mofnet.gov.pl;381030;www.opolskie.kas.gov.pl/opolski-urzad-celno-skarbowy-w-opolu
322;opolskie;OC;Oddział Celny w Nysie;48-300;Nysa;Otmuchowska ;50;48-300 Nysa, Otmuchowska  50;Nysa;77 400 67 11 ;77 400 67 11 w. 3159;ucsoc381040@op.mofnet.gov.pl;381040;www.opolskie.kas.gov.pl/opolski-urzad-celno-skarbowy-w-opolu
323;podkarpackie;IAS;Izba Administracji Skarbowej w Rzeszowie;35-959;Rzeszów;Geodetów ;1;35-959 Rzeszów, Geodetów  1;Rzeszów;(17) 850-36-00;(17) 852-11-30;ias@pk.mofnet.gov.pl ;1801;www.podkarpackie.kas.gov.pl
324;podkarpackie;US;Urząd Skarbowy w Brzozowie;36-200;Brzozów;Kazimierzowska ;1;36-200 Brzozów, Kazimierzowska  1;Brzozów;(13) 434-07-30;(13) 434-08-70;us1802@pk.mofnet.gov.pl;1802;www.podkarpackie.kas.gov.pl/urzad-skarbowy-w-brzozowie
325;podkarpackie;US;Urząd Skarbowy w Dębicy;39-200;Dębica;Kolejowa ;21;39-200 Dębica, Kolejowa  21;Dębica;(14) 680-52-15;(14) 680-52-26;us1803@pk.mofnet.gov.pl;1803;www.podkarpackie.kas.gov.pl/urzad-skarbowy-w-debicy
326;podkarpackie;US;Urząd Skarbowy w Jarosławiu;37-500;Jarosław;Przemysłowa ;2A;37-500 Jarosław, Przemysłowa  2A;Jarosław;(16) 624-67-55;(16) 624-67-87;us1804@pk.mofnet.gov.pl;1804;www.podkarpackie.kas.gov.pl/urzad-skarbowy-w-jaroslawiu
327;podkarpackie;US;Urząd Skarbowy w Jaśle;38-200;Jasło;Stanisława Staszica ;3;38-200 Jasło, Stanisława Staszica  3;Jasło;"(13) 448-01-80; (13) 448-01-81";(13) 446-37-94;us1805@pk.mofnet.gov.pl;1805;www.podkarpackie.kas.gov.pl/urzad-skarbowy-w-jasle
328;podkarpackie;US;Urząd Skarbowy w Kolbuszowej;36-100;Kolbuszowa;Tadeusza Kościuszki ;20;36-100 Kolbuszowa, Tadeusza Kościuszki  20;Kolbuszowa;"(17) 227-06-50; (17) 227-13-68";(17) 227-26-33;us1806@pk.mofnet.gov.pl;1806;www.podkarpackie.kas.gov.pl/urzad-skarbowy-w-kolbuszowej
329;podkarpackie;US;Urząd Skarbowy w Krośnie;38-400;Krosno;Składowa ;5;38-400 Krosno, Składowa  5;Krosno;(13) 437-35-05;(13) 437-35-08;us1807@pk.mofnet.gov.pl;1807;www.podkarpackie.kas.gov.pl/urzad-skarbowy-w-krosnie
330;podkarpackie;US;Urząd Skarbowy w Lesku;38-600;Lesko;Rynek ;1;38-600 Lesko, Rynek  1;Lesko;(13) 469-64-84;(13) 469-85-34;us1808@pk.mofnet.gov.pl;1808;www.podkarpackie.kas.gov.pl/urzad-skarbowy-w-lesku
